show,type,genre,opening,closing,performances
A Chinese Honeymoon,Revival,Musical,"Mar 28, 1904","Apr 02, 1904",31
A Chorus Line,Original,"Musical, Drama","Jul 25, 1975","Apr 28, 1990",6137
A Chorus Line,Revival,"Musical, Drama","Oct 05, 2006","Aug 17, 2008",759
A Christmas Carol,Original,"Play, Solo","Dec 19, 1991","Dec 29, 1991",14
A Christmas Carol,Revival,"Play, Solo","Dec 17, 1992","Jan 03, 1993",22
A Christmas Carol,Revival,"Play, Solo","Dec 22, 1994","Jan 08, 1995",18
A Christmas Carol,Revival,"Play, Solo","Dec 24, 2001","Dec 30, 2001",8
A Christmas Story The Musical,Original,"Musical, Comedy","Nov 19, 2012","Dec 30, 2012",51
A Church Mouse,Original,Play,"Oct 12, 1931",Mar 1932,164
A Church Mouse,Revival,"Play, Comedy","Jun 26, 1933",Jul 1933,9
A Cigarette Maker's Romance,Original,"Play, Drama","Nov 12, 1902",Nov 1902,14
A Citizen's Home,Original,Play,"Oct 01, 1909",Oct 1909,19
A Class Act,Original,Musical,"Mar 11, 2001","Jun 10, 2001",105
A Clean Slate,Original,Play,"Nov 03, 1903",Nov 1903,31
A Clearing in the Woods,Original,Play,"Jan 10, 1957","Feb 09, 1957",36
A Comedy of Women,Original,"Play, Comedy","Sep 13, 1929",Oct 1929,24
A Condition of Shadow,Original,"Play, Solo","Nov 07, 1977","Nov 21, 1977",3
A Connecticut Yankee,Original,"Musical, Comedy","Nov 03, 1927","Oct 27, 1928",421
A Connecticut Yankee,Revival,"Musical, Comedy","Nov 17, 1943","Mar 11, 1944",135
A Cook for Mr. General,Original,"Play, Comedy","Oct 19, 1961","Nov 11, 1961",28
A Country Girl,Original,Musical,"Sep 22, 1902","Dec 27, 1902",112
A Country Girl,Revival,Musical,"May 29, 1911","Jun 24, 1911",32
A Country Mouse,Original,Play,"Oct 06, 1902",Dec 1902,89
A Cry of Players,Original,Play,"Nov 14, 1968","Feb 15, 1969",72
A Cure for Curables,Original,Play,"Feb 25, 1918",Jun 1918,112
A Date With April,Original,"Play, Comedy","Apr 15, 1953","Apr 25, 1953",13
A Day By The Sea,Original,Play,"Sep 26, 1955","Oct 15, 1955",24
A Day in the Death of Joe Egg,Original,"Play, Comedy","Feb 01, 1968","Jun 15, 1968",154
A Day in the Death of Joe Egg,Revival,"Play, Comedy","Apr 03, 2003","Jun 01, 2003",69
A Delicate Balance,Original,"Play, Drama","Sep 22, 1966","Jan 14, 1967",132
A Delicate Balance,Revival,"Play, Drama","Apr 21, 1996","Sep 29, 1996",185
A Delicate Balance,Revival,"Play, Drama","Nov 20, 2014","Feb 22, 2015",108
A Desert Incident,Original,"Play, Drama","Mar 24, 1959","Mar 28, 1959",7
A Distant Bell,Original,Play,"Jan 13, 1960","Jan 16, 1960",5
A Distant Drum,Original,Play,"Jan 20, 1928",Jan 1928,11
A Divine Drudge,Original,"Play, Drama","Oct 26, 1933",Nov 1933,12
A Divine Moment,Original,Play,"Jan 06, 1934",Jan 1934,9
A Doll's House,Revival,"Play, Drama","May 21, 1902","May 21, 1902",1
A Doll's House,Revival,"Play, Drama","May 30, 1902","May 30, 1902",1
A Doll's House,Revival,"Play, Drama","May 02, 1905",May 1905,15
A Doll's House,Revival,Play,"Jan 14, 1907",Feb 1907,28
A Doll's House,Revival,Play,"Nov 18, 1907",Dec 1907,49
A Doll's House,Revival,"Play, Drama","Apr 29, 1918",May 1918,32
A Doll's House,Revival,"Play, Drama","Dec 27, 1937","Apr 30, 1938",144
A Doll's House,Revival,"Play, Drama","Jan 13, 1971","Jun 26, 1971",111
A Doll's House,Revival,"Play, Drama","Mar 05, 1975","Apr 20, 1975",54
A Doll's House,Revival,"Play, Drama","Apr 02, 1997","Aug 31, 1997",150
"A Doll's House, Part 2",Original,"Play, Drama","Apr 27, 2017","Sep 24, 2017",172
A Doll's Life,Original,Musical,"Sep 23, 1982","Sep 26, 1982",5
A Fair Exchange,Original,"Play, Comedy","Dec 04, 1905",Dec 1905,21
A Family Affair,Original,"Play, Comedy","Nov 27, 1946","Nov 30, 1946",6
A Family Affair,Original,"Musical, Comedy","Jan 27, 1962","Mar 25, 1962",65
A Fantastic Fricassee,Original,"Musical, Revue","Sep 11, 1922",Dec 1922,112
A Far Country,Original,"Play, Drama","Apr 04, 1961","Nov 25, 1961",271
A Farewell to Arms,Original,"Play, Drama","Sep 22, 1930",Oct 1930,24
A Few Good Men,Original,"Play, Drama","Nov 15, 1989","Jan 26, 1991",497
A Few Wild Oats,Original,"Play, Comedy","Mar 24, 1932",Mar 1932,4
A Flag Is Born,Original,Play,"Sep 05, 1946","Dec 14, 1946",120
A Flea in Her Ear,Revival,"Play, Farce","Oct 03, 1969","Oct 25, 1969",11
A Fool and His Money,Original,"Play, Farce","Apr 14, 1903",May 1903,47
A Fool and His Money,Revival,Play,"Oct 26, 1904",Nov 1904,24
A Fool of Fortune,Revival,Play,"Jan 12, 1912","Jan 12, 1912",1
A Fool There Was,Original,Play,"Mar 24, 1909",Jun 1909,93
A Free Man of Color,Original,"Play, Drama","Nov 18, 2010","Jan 09, 2011",61
A Free Soul,Original,Play,"Jan 12, 1928",Apr 1928,100
A Friend Indeed,Original,"Play, Drama","Apr 26, 1926",May 1926,16
A Full House,Original,Play,"May 10, 1915",Aug 1915,112
A Gentleman from Mississippi,Original,Play,"Sep 29, 1908",Sep 1909,407
A Gentleman of Leisure,Original,"Play, Comedy","Aug 24, 1911",<em>Closing date unknown</em>,76
A Gentleman's Guide to Love & Murder,Original,"Musical, Comedy","Nov 17, 2013","Jan 17, 2016",905
A Gift of Time,Original,Play,"Feb 22, 1962","May 12, 1962",92
A Girl Can Tell,Original,"Play, Comedy","Oct 29, 1953","Dec 19, 1953",60
A Girl Could Get Lucky,Original,"Play, Comedy","Sep 20, 1964","Sep 26, 1964",8
A Glance at New York In 1848,Original,"Play, Sketches","Feb 15, 1848","May 23, 1848",50
A Glass of Water,Original,"Play, Comedy","Mar 05, 1930",Mar 1930,9
A Glimpse of the Great White Way,Original,Special,"Oct 27, 1913","Nov 01, 1913",12
A Good Bad Woman,Original,Play,"Apr 08, 1919",May 1919,31
A Good Bad Woman,Revival,Play,"Feb 09, 1925",Feb 1925,16
A Good Bad Woman,Revival,Play,"Jun 22, 1925",Aug 1925,64
A Good Little Devil,Original,Play,"Jan 08, 1913",May 1913,133
"A Good Woman, Poor Thing",Original,"Play, Comedy","Jan 09, 1933",Jan 1933,8
A Goose for the Gander,Original,"Play, Comedy","Jan 23, 1945","Feb 03, 1945",15
A Grand Army Man,Original,"Musical, Opera","Oct 16, 1907",Feb 1908,149
A Grand Night for Singing,Original,"Musical, Revue","Nov 17, 1993","Jan 01, 1994",52
A Greek Slave,Original,"Musical, Comedy","Nov 28, 1899","Dec 23, 1899",29
A Hand Is on the Gate,Original,Play,"Sep 21, 1966","Oct 08, 1966",20
"A Hat, a Coat, a Glove",Original,"Play, Drama","Jan 31, 1934",Feb 1934,13
A Hatful of Rain,Original,"Play, Drama","Nov 09, 1955","Oct 13, 1956",398
A Hero Is Born,Original,"Musical, Extravaganza","Oct 01, 1937","Nov 27, 1937",50
A Highland Fling,Original,Play,"Apr 28, 1944","May 20, 1944",28
A History of the American Film,Original,"Musical, Revue","Mar 30, 1978","Apr 16, 1978",21
A Hole in the Head,Original,"Play, Comedy","Feb 28, 1957","Jul 13, 1957",156
A Holy Terror,Original,Play,"Sep 28, 1925",Oct 1925,32
A Hot Old Time,Revival,"Musical, Farce","Apr 12, 1900","Apr 28, 1900",28
A Hot Old Time,Revival,"Musical, Farce","May 27, 1905",Jun 1905,9
A House in the Country,Original,"Play, Comedy","Jan 11, 1937",Jan 1937,7
A Hundred Years Old,Original,"Play, Comedy","Oct 01, 1929",Nov 1929,39
A Japanese Nightingale,Original,Play,"Nov 19, 1903","Dec 30, 1903",46
A Journey By Night,Original,"Play, Drama","Apr 16, 1935",Apr 1935,7
A Joy Forever,Original,Play,"Jan 07, 1946","Jan 19, 1946",16
A Joyful Noise,Original,Musical,"Dec 15, 1966","Dec 24, 1966",12
A King of Nowhere,Original,Play,"Mar 20, 1916",<em>Closing date unknown</em>,58
A Kiss for Cinderella,Original,Play,"Dec 25, 1916",May 1917,152
A Kiss for Cinderella,Revival,Play,"Mar 10, 1942","Apr 18, 1942",48
A Kiss of Importance,Original,"Play, Comedy","Dec 01, 1930",Dec 1930,24
A Knight for a Day,Original,"Musical, Farce","Dec 16, 1907","May 16, 1908",176
A Kurt Weill Cabaret,Original,"Musical, Revue","Nov 05, 1979","Jun 01, 1980",72
A la Carte,Original,"Musical, Revue","Aug 17, 1927",Sep 1927,45
A Lady Detained,Original,"Play, Comedy","Jan 09, 1935","Jan 19, 1935",13
A Lady in Love,Original,"Play, Comedy","Feb 21, 1927",Mar 1927,16
A Lady Says Yes,Original,Musical,"Jan 10, 1945","Mar 25, 1945",87
A Lady's Name,Original,Play,"May 15, 1916",Jul 1916,56
A Lady's Virtue,Original,Play,"Nov 23, 1925",Mar 1926,136
A Ledge,Original,"Play, Drama","Nov 18, 1929",Dec 1929,16
A Lesson From Aloes,Original,Play,"Nov 17, 1980","Feb 08, 1981",96
A Lesson in Love,Original,"Play, Comedy","Sep 24, 1923",Nov 1923,72
A Letter for Queen Victoria,Original,Musical,"Mar 22, 1975","Apr 06, 1975",18
A Life,Original,Play,"Nov 02, 1980","Jan 03, 1981",64
A Life in the Theatre,Original,"Play, Comedy","Oct 12, 2010","Nov 28, 2010",56
A Little Bit of Everything,Original,"Musical, Vaudeville","Jun 06, 1904","Sep 17, 1904",120
A Little Bit of Fluff,Original,Play,"Aug 26, 1916",Sep 1916,17
A Little Brother of the Rich,Original,Play,"Dec 27, 1909",Jan 1910,24
A Little Family Business,Original,"Play, Comedy","Dec 15, 1982","Dec 26, 1982",13
A Little Hotel on the Side,Original,Play,"Jan 26, 1992","Mar 01, 1992",40
A Little Journey,Original,Play,"Dec 26, 1918",Aug 1919,252
A Little Like Magic,Original,"Special, Puppets","Oct 26, 1986","Dec 07, 1986",49
A Little More Magic,Original,"Special, Puppets","Mar 17, 1994","Apr 10, 1994",27
A Little Racketeer,Original,"Musical, Comedy","Jan 18, 1932","Feb 27, 1932",48
A Little Water on the Side,Original,"Play, Comedy","Jan 06, 1914",Mar 1914,63
A Lonely Romeo,Original,"Musical, Comedy","Jun 10, 1919","Nov 10, 1919",215
A Long Way From Home,Original,Play,"Feb 08, 1948","Feb 15, 1948",6
A Loss of Roses,Original,Play,"Nov 28, 1959","Dec 19, 1959",25
A Love Scandal,Original,"Play, Comedy","Nov 17, 1923",Dec 1923,24
A Lovely Light,Original,"Play, Solo","Feb 08, 1960","Feb 20, 1960",17
A Lucky Break,Original,Play,"Aug 11, 1925",Aug 1925,23
A Lucky Star,Original,Play,"Jan 18, 1910",Apr 1910,95
A Majority of One,Original,"Play, Comedy","Feb 16, 1959","Jun 25, 1960",556
A Man About Town,Original,Special,"Mar 21, 1921",Apr 1921,40
A Man and His Wife,Original,"Play, Drama","Mar 06, 1897","Mar 06, 1897",1
A Man and His Wife,Revival,"Play, Drama","Apr 02, 1900",Apr 1900,24
A Man for All Seasons,Original,Play,"Nov 22, 1961","Jun 01, 1963",637
A Man for All Seasons,Revival,Play,"Oct 07, 2008","Dec 14, 2008",73
A Man From Mars,Original,"Musical, Burlesque","Sep 05, 1901","Apr 19, 1902",259
A Man with Red Hair,Original,Play,"Nov 08, 1928",Dec 1928,20
A Man's Friends,Original,"Play, Drama","Mar 24, 1913",Apr 1913,32
A Man's Man,Original,"Play, Comedy","Oct 13, 1925",Jan 1926,120
A Man's World,Original,Play,"Feb 08, 1910",Apr 1910,71
A Marriage of Convenience,Revival,Play,"May 01, 1918",Jun 1918,53
A Marriage of Reason,Original,Play,"Apr 01, 1907",Apr 1907,14
A Matinee Idol,Original,"Musical, Comedy","Apr 28, 1910",May 1911,76
A Matter of Gravity,Original,"Play, Comedy","Feb 03, 1976","Apr 10, 1976",79
A Meeting by the River,Original,Play,"Mar 28, 1979","Mar 28, 1979",1
A Message from Mars,Original,"Play, Drama","Oct 07, 1901",Mar 1902,184
A Message from Mars,Revival,"Play, Drama","Mar 30, 1903",May 1903,56
A Message from Mars,Revival,Play,"Oct 17, 1904",Nov 1904,32
A Midsummer Night's Dream,Revival,"Play, Comedy","Oct 26, 1903",Nov 1903,24
A Midsummer Night's Dream,Revival,"Play, Comedy","Sep 21, 1906",Oct 1906,34
A Midsummer Night's Dream,Revival,"Special, Puppets","May 18, 1920","May 29, 1920",7
A Midsummer Night's Dream,Revival,"Play, Comedy","Nov 17, 1927",Dec 1927,23
A Midsummer Night's Dream,Revival,"Play, Comedy","Nov 17, 1932",Dec 1932,27
A Midsummer Night's Dream,Revival,"Play, Comedy","Sep 21, 1954","Oct 17, 1954",29
A Midsummer Night's Dream,Revival,"Play, Comedy","Jan 20, 1971","Mar 13, 1971",62
A Midsummer Night's Dream,Revival,"Play, Comedy","Mar 31, 1996","May 26, 1996",65
A Mighty Man Is He,Original,"Play, Comedy","Jan 06, 1960","Jan 09, 1960",5
A Minor Adjustment,Original,"Play, Comedy","Oct 06, 1967","Oct 07, 1967",3
A Mix-up,Original,Play,"Dec 28, 1914",Mar 1915,88
A Modern Eve,Original,"Musical, Comedy","May 03, 1915","Jun 19, 1915",56
A Modern Girl,Original,Play,"Sep 12, 1914",Sep 1914,17
A Modern Magdalen,Original,"Play, Drama","Mar 29, 1902","May 31, 1902",73
A Modern Virgin,Original,"Play, Comedy","May 20, 1931","Jul 05, 1931",53
A Mom's Life,Original,"Special, Solo","Oct 19, 1998","Nov 02, 1998",3
A Month in the Country,Original,Play,"Mar 17, 1930",May 1930,71
A Month in the Country,Revival,"Play, Comedy","Apr 03, 1956","May 13, 1956",48
A Month in the Country,Revival,Play,"Apr 25, 1995","Jun 10, 1995",55
A Month of Sundays,Original,"Play, Comedy","Apr 16, 1987","Apr 18, 1987",4
A Moon for the Misbegotten,Original,"Play, Drama","May 02, 1957","Jun 29, 1957",68
A Moon for the Misbegotten,Revival,"Play, Drama","Dec 29, 1973","Nov 17, 1974",313
A Moon for the Misbegotten,Revival,"Play, Drama","May 01, 1984","Jun 09, 1984",40
A Moon for the Misbegotten,Revival,"Play, Drama","Mar 19, 2000","Jul 02, 2000",120
A Moon for the Misbegotten,Revival,"Play, Drama","Apr 09, 2007","Jun 10, 2007",71
A Most Immoral Lady,Original,"Play, Comedy","Nov 26, 1928",Apr 1929,160
A Murderer Among Us,Original,Play,"Mar 25, 1964","Mar 25, 1964",1
A Musical Jubilee,Original,"Musical, Revue","Nov 13, 1975","Feb 01, 1976",92
A Naked Girl on the Appian Way,Original,Play,"Oct 06, 2005","Dec 04, 2005",69
A Need for Brussels Sprouts,Original,"Play, Comedy","Nov 04, 1982","Feb 20, 1983",124
A Need for Less Expertise,Original,"Play, Comedy","Nov 04, 1982","Feb 20, 1983",124
A New Life,Original,Play,"Sep 15, 1943","Nov 13, 1943",70
A Night in Paris,Original,"Musical, Revue","Jan 05, 1926","Jul 10, 1926",208
A Night in Paris,Original,"Musical, Revue","Jul 26, 1926","Oct 30, 1926",113
A Night in Rome,Revival,"Musical, Opera","Oct 17, 1866","Oct 18, 1866",2
A Night in Spain,Original,"Musical, Revue","Dec 06, 1917","Jan 12, 1918",33
A Night in Spain,Original,"Musical, Revue","May 03, 1927","Nov 12, 1927",174
A Night in Venice,Original,"Musical, Revue","May 21, 1929","Oct 19, 1929",175
A Night with Janis Joplin,Original,Musical,"Oct 10, 2013","Feb 09, 2014",140
A Night with the Pierrots,Original,"Musical, Vaudeville","Mar 05, 1912","Jun 29, 1912",136
A Pair of Petticoats,Original,Play,"Mar 18, 1918",May 1918,80
A Pair of Queens,Original,Play,"Aug 29, 1916",Sep 1916,15
A Pair of Silk Stockings,Original,Play,"Oct 20, 1914",May 1915,223
A Pair of Sixes,Original,"Play, Comedy","Mar 17, 1914",Sep 1914,207
A Parisian Model,Original,"Musical, Comedy","Nov 27, 1906","Jun 29, 1907",179
A Parisian Model,Original,"Musical, Comedy","Jan 06, 1908","Jan 25, 1908",21
A Party,Original,Play,"Aug 23, 1933",Oct 1933,45
A Passage to India,Original,Play,"Jan 31, 1962","May 05, 1962",109
A Passenger to Bali,Original,"Play, Drama","Mar 14, 1940","Mar 16, 1940",4
A Passion in the Suburb,Original,Play,"Feb 27, 1905","Apr 08, 1905",14
A Patriot for Me,Original,"Play, Drama","Oct 06, 1969","Nov 15, 1969",49
A Perfect Lady,Original,Play,"Oct 28, 1914",Nov 1914,21
A Pin to See the Peepshow,Original,"Play, Drama","Sep 17, 1953","Sep 17, 1953",1
A Pinch Hitter,Original,"Play, Comedy","Jun 01, 1922",Jun 1922,17
A Place for Polly,Original,Play,"Apr 18, 1970","Apr 18, 1970",1
A Place in the Sun,Original,Play,"Nov 28, 1918",Jan 1919,44
A Place of Our Own,Original,Play,"Apr 02, 1945","Apr 07, 1945",8
A Place Without Doors,Original,Play,"Dec 22, 1970","Jan 16, 1971",30
A Play Without a Name,Original,Play,"Nov 26, 1928",Jan 1929,48
A Point of Honor,Original,"Play, Comedy","Feb 11, 1937",Feb 1937,4
A Pot of Broth,Original,Play,"Jun 03, 1903","Jun 04, 1903",2
A Pot of Broth,Revival,Play,"Feb 18, 1908",Feb 1908,7
A Primer for Lovers,Original,"Play, Farce","Nov 18, 1929",Dec 1929,24
A Prince There Was,Original,Play,"Dec 24, 1918",May 1919,159
A Private Affair,Original,"Play, Comedy","May 14, 1936",Jun 1936,28
A Proud Woman,Original,"Play, Comedy","Nov 15, 1926",Nov 1926,7
A Puppet-Play,Original,Play,"May 07, 1926","May 07, 1926",1
A Race of Hairy Men!,Original,"Play, Comedy","Apr 29, 1965","May 01, 1965",4
A Rainy Day in Newark,Original,"Play, Farce","Oct 22, 1963","Oct 26, 1963",7
A Raisin in the Sun,Original,"Play, Drama","Mar 11, 1959","Jun 25, 1960",530
A Raisin in the Sun,Revival,"Play, Drama","Apr 26, 2004","Jul 11, 2004",88
A Raisin in the Sun,Revival,"Play, Drama","Apr 03, 2014","Jun 15, 2014",85
A Red Rainbow,Original,Play,"Sep 14, 1953","Sep 26, 1953",16
A Regular Feller,Original,"Play, Comedy","Sep 15, 1919",Oct 1919,31
A Regular Guy,Original,"Play, Comedy","Jun 04, 1931",Jun 1931,13
A Reign of Error,Original,"Musical, Vaudeville","Mar 02, 1899","Jun 10, 1899",102
A Rich Man's Son,Original,"Play, Comedy","Oct 21, 1899","Nov 22, 1899",36
A Rich Man's Son,Original,Play,"Nov 04, 1912",Dec 1912,32
A Roman Servant,Original,"Play, Drama","Dec 01, 1934",Dec 1934,9
A Romance of Athlone,Original,Play,"Jan 29, 1900","Mar 03, 1900",41
A Romance of Athlone,Revival,Play,"Mar 18, 1901",Apr 1901,16
A Room in Red and White,Original,"Play, Drama","Jan 18, 1936",Feb 1936,25
A Roomful of Roses,Original,Play,"Oct 17, 1955","Dec 31, 1955",88
A Rose o' Plymouth-town,Original,Play,"Sep 29, 1902",Oct 1902,21
A Royal Family,Original,"Play, Comedy","Sep 05, 1900",Feb 1901,175
A Royal Fandango,Original,"Play, Comedy","Nov 12, 1923",Dec 1923,24
A Royal Rival,Original,"Play, Drama","Aug 26, 1901",Dec 1901,112
A Runaway Girl,Original,"Musical, Comedy","Aug 25, 1898","Feb 25, 1899",216
A Runaway Girl,Revival,"Musical, Comedy","Apr 23, 1900","Jun 02, 1900",40
A Saturday Night,Original,"Play, Comedy","Feb 28, 1933",Apr 1933,40
A Scrap of Paper,Revival,Play,"May 11, 1914",Jun 1914,32
A Scrape o' the Pen,Original,Play,"Sep 26, 1912",Dec 1912,76
A Second String,Original,Play,"Apr 13, 1960","May 07, 1960",29
A Serpent's Tooth,Original,Play,"Aug 24, 1922",Sep 1922,36
A Severed Head,Original,"Play, Comedy","Oct 28, 1964","Nov 21, 1964",29
A Shadow of My Enemy,Original,Play,"Dec 11, 1957","Dec 14, 1957",5
A Ship Comes In,Original,"Play, Drama","Sep 19, 1934",Oct 1934,38
A Single Man,Original,"Play, Comedy","Sep 04, 1911",Dec 1911,104
A Skylark,Original,"Musical, Comedy","Apr 04, 1910","Apr 23, 1910",24
A Sleeping Clergyman,Original,Play,"Oct 08, 1934",Nov 1934,40
A Sleepless Night,Original,Play,"Feb 18, 1919",Apr 1919,71
A Slice of Life,Original,"Play, Comedy","Jan 29, 1912",Mar 1912,48
A Slight Case of Murder,Original,"Play, Comedy","Sep 11, 1935",Nov 1935,69
A Small Family Business,Original,Play,"Apr 27, 1992","Jun 07, 1992",48
A Society Circus,Original,"Musical, Extravaganza","Dec 13, 1905","Nov 24, 1906",596
A Son of Rest,Original,"Musical, Farce","Aug 17, 1903","Feb 27, 1904",16
A Sound of Hunting,Original,Play,"Nov 20, 1945","Dec 08, 1945",23
A Square Peg,Original,"Play, Tragedy","Jan 27, 1923",Mar 1923,41
A Steady Rain,Original,Play,"Sep 29, 2009","Dec 06, 2009",80
A Stitch in Time,Original,Play,"Oct 15, 1918",Dec 1918,71
A Story for Strangers,Original,"Play, Fantasy","Sep 21, 1948","Sep 25, 1948",7
A Strange Play,Original,"Play, Comedy","Jun 01, 1944","Jun 03, 1944",4
A Stranger in a Strange Land,Original,"Play, Comedy","Sep 25, 1899",Nov 1899,57
A Streetcar Named Desire,Original,"Play, Drama","Dec 03, 1947","Dec 17, 1949",855
A Streetcar Named Desire,Revival,"Play, Drama","May 23, 1950",<em>Closing date unknown</em>,16
A Streetcar Named Desire,Revival,"Play, Drama","Feb 15, 1956","Feb 26, 1956",15
A Streetcar Named Desire,Revival,"Play, Drama","Apr 26, 1973","Jul 29, 1973",110
A Streetcar Named Desire,Revival,"Play, Drama","Oct 01, 1973","Nov 18, 1973",53
